Iteration,Score,Guard_Passed,Action
0,37.8944,False,BASELINE
1,43.2500,False,REJECT_UNSAFE
2,35.4222,False,DISCARD
3,56.7611,False,REJECT_UNSAFE
4,38.1389,False,REJECT_UNSAFE
5,42.8056,False,REJECT_UNSAFE
6,55.2944,False,REJECT_UNSAFE
7,48.5389,False,REJECT_UNSAFE
8,37.8944,False,DISCARD
9,37.8944,False,DISCARD
10,41.4500,False,REJECT_UNSAFE
11,50.0056,False,REJECT_UNSAFE
12,56.2000,False,REJECT_UNSAFE
13,45.5556,False,REJECT_UNSAFE
14,48.2722,False,REJECT_UNSAFE
15,38.8500,False,REJECT_UNSAFE
16,44.7167,False,REJECT_UNSAFE
17,45.6722,False,REJECT_UNSAFE
18,53.4500,False,REJECT_UNSAFE
19,50.4500,False,REJECT_UNSAFE
20,50.4500,False,REJECT_UNSAFE
21,30.4722,False,DISCARD
22,37.8944,False,DISCARD
23,58.2278,False,REJECT_UNSAFE
24,29.5833,False,DISCARD
25,45.6722,False,REJECT_UNSAFE
26,37.0056,False,DISCARD
27,51.8667,False,REJECT_UNSAFE
28,46.1167,False,REJECT_UNSAFE
29,42.8056,False,REJECT_UNSAFE
30,48.5389,False,REJECT_UNSAFE
31,41.4500,False,REJECT_UNSAFE
32,37.8944,False,DISCARD
33,37.8944,False,DISCARD
34,54.2889,False,REJECT_UNSAFE
35,37.8944,False,DISCARD
36,38.9778,False,REJECT_UNSAFE
37,44.7167,False,REJECT_UNSAFE
38,53.4500,False,REJECT_UNSAFE
39,45.6722,False,REJECT_UNSAFE
40,48.5389,False,REJECT_UNSAFE
41,37.0056,False,DISCARD
42,47.0056,False,REJECT_UNSAFE
43,42.8056,False,REJECT_UNSAFE
44,48.5389,False,REJECT_UNSAFE
45,34.0278,False,DISCARD
46,37.4500,False,DISCARD
47,30.4722,False,DISCARD
48,48.2722,False,REJECT_UNSAFE
49,39.8056,False,REJECT_UNSAFE
50,41.4500,False,REJECT_UNSAFE
51,47.2000,False,REJECT_UNSAFE
52,41.4500,False,REJECT_UNSAFE
53,37.5167,False,DISCARD
